index,Country Code,EEUU,asilo+EEUU,asilo+españa,emigrar,inmigrar,inmigrar+EEUU,inmigrar+españa,isPartial,word
2018-02-18,PA,,,,,,15.0,,False,inmigrar+EEUU
2018-02-25,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-03-04,PA,,,,,,6.0,,False,inmigrar+EEUU
2018-03-11,PA,,,,,,8.0,,False,inmigrar+EEUU
2018-03-18,PA,,,,,,12.0,,False,inmigrar+EEUU
2018-03-25,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-04-01,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-04-08,PA,,,,,,24.0,,False,inmigrar+EEUU
2018-04-15,PA,,,,,,20.0,,False,inmigrar+EEUU
2018-04-22,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-04-29,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-05-06,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-05-13,PA,,,,,,12.0,,False,inmigrar+EEUU
2018-05-20,PA,,,,,,13.0,,False,inmigrar+EEUU
2018-05-27,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-06-03,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-06-10,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-06-17,PA,,,,,,8.0,,False,inmigrar+EEUU
2018-06-24,PA,,,,,,6.0,,False,inmigrar+EEUU
2018-07-01,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-07-08,PA,,,,,,13.0,,False,inmigrar+EEUU
2018-07-15,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-07-22,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-07-29,PA,,,,,,8.0,,False,inmigrar+EEUU
2018-08-05,PA,,,,,,10.0,,False,inmigrar+EEUU
2018-08-12,PA,,,,,,10.0,,False,inmigrar+EEUU
2018-08-19,PA,,,,,,13.0,,False,inmigrar+EEUU
2018-08-26,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-09-02,PA,,,,,,10.0,,False,inmigrar+EEUU
2018-09-09,PA,,,,,,12.0,,False,inmigrar+EEUU
2018-09-16,PA,,,,,,10.0,,False,inmigrar+EEUU
2018-09-23,PA,,,,,,12.0,,False,inmigrar+EEUU
2018-09-30,PA,,,,,,9.0,,False,inmigrar+EEUU
2018-10-07,PA,,,,,,16.0,,False,inmigrar+EEUU
2018-10-14,PA,,,,,,17.0,,False,inmigrar+EEUU
2018-10-21,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-10-28,PA,,,,,,8.0,,False,inmigrar+EEUU
2018-11-04,PA,,,,,,22.0,,False,inmigrar+EEUU
2018-11-11,PA,,,,,,15.0,,False,inmigrar+EEUU
2018-11-18,PA,,,,,,13.0,,False,inmigrar+EEUU
2018-11-25,PA,,,,,,11.0,,False,inmigrar+EEUU
2018-12-02,PA,,,,,,12.0,,False,inmigrar+EEUU
2018-12-09,PA,,,,,,13.0,,False,inmigrar+EEUU
2018-12-16,PA,,,,,,12.0,,False,inmigrar+EEUU
2018-12-23,PA,,,,,,7.0,,False,inmigrar+EEUU
2018-12-30,PA,,,,,,14.0,,False,inmigrar+EEUU
2019-01-06,PA,,,,,,15.0,,False,inmigrar+EEUU
2019-01-13,PA,,,,,,12.0,,False,inmigrar+EEUU
2019-01-20,PA,,,,,,12.0,,False,inmigrar+EEUU
2019-01-27,PA,,,,,,17.0,,False,inmigrar+EEUU
2019-02-03,PA,,,,,,13.0,,False,inmigrar+EEUU
2019-02-10,PA,,,,,,9.0,,False,inmigrar+EEUU
2019-02-17,PA,,,,,,17.0,,False,inmigrar+EEUU
2019-02-24,PA,,,,,,16.0,,False,inmigrar+EEUU
2019-03-03,PA,,,,,,12.0,,False,inmigrar+EEUU
2019-03-10,PA,,,,,,17.0,,False,inmigrar+EEUU
2019-03-17,PA,,,,,,9.0,,False,inmigrar+EEUU
2019-03-24,PA,,,,,,11.0,,False,inmigrar+EEUU
2019-03-31,PA,,,,,,12.0,,False,inmigrar+EEUU
2019-04-07,PA,,,,,,12.0,,False,inmigrar+EEUU
2019-04-14,PA,,,,,,12.0,,False,inmigrar+EEUU
2019-04-21,PA,,,,,,8.0,,True,inmigrar+EEUU
2014-04-27,PA,,,,,,,29.0,False,inmigrar+españa
2014-05-04,PA,,,,,,,35.0,False,inmigrar+españa
2014-05-11,PA,,,,,,,37.0,False,inmigrar+españa
2014-05-18,PA,,,,,,,34.0,False,inmigrar+españa
2014-05-25,PA,,,,,,,34.0,False,inmigrar+españa
2014-06-01,PA,,,,,,,42.0,False,inmigrar+españa
2014-06-08,PA,,,,,,,94.0,False,inmigrar+españa
2014-06-15,PA,,,,,,,100.0,False,inmigrar+españa
